plan_id,month,termination_req,termination_comp,termination_days,inserv_req,inserv_comp,inserv_days,rollover_req,rollover_comp,rollover_days,hardship_req,hardship_comp,hardship_days,loan_req,loan_comp,loan_days,exceptions_opened,exceptions_resolved,sla_breach_rate,hardship_allowed,loan_allowed,inserv_allowed,participants,median_balance,median_age,fee_distribution,fee_loan_origination,vendor_type,fee_tier,label
102345,2024-01,12,11,3.530471707975443,2,2,2.030471707975443,1,1,4.030471707975443,0,0,0.030471707975443137,3,3,5.030471707975443,2,2,0.05304717079754431,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-02,8,8,3.030471707975443,1,1,2.530471707975443,2,2,3.830471707975443,1,1,4.230471707975443,4,4,6.030471707975443,1,1,0.023047170797544314,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-03,10,9,3.2304717079754433,2,2,2.130471707975443,1,1,4.130471707975443,0,0,0.030471707975443137,2,2,5.530471707975443,1,1,0.03304717079754431,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-04,9,9,3.030471707975443,1,1,2.330471707975443,2,2,3.930471707975443,1,1,4.030471707975443,3,3,5.830471707975443,2,2,0.04304717079754432,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-05,11,10,3.430471707975443,2,2,2.2304717079754433,1,1,4.230471707975443,0,0,0.030471707975443137,4,4,6.230471707975443,1,1,0.05304717079754431,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-06,7,7,2.930471707975443,1,1,2.430471707975443,2,2,3.7304717079754433,1,1,4.130471707975443,3,3,5.930471707975443,2,2,0.03304717079754431,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-07,13,12,3.630471707975443,2,2,2.030471707975443,1,1,4.330471707975443,0,0,0.030471707975443137,5,5,6.530471707975443,2,2,0.06304717079754431,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-08,9,9,3.130471707975443,1,1,2.530471707975443,2,2,3.830471707975443,1,1,4.330471707975443,4,4,6.130471707975443,1,1,0.04304717079754432,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-09,10,9,3.330471707975443,2,2,2.2304717079754433,1,1,4.030471707975443,0,0,0.030471707975443137,3,3,5.730471707975443,2,2,0.05304717079754431,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-10,8,8,3.030471707975443,1,1,2.430471707975443,2,2,3.930471707975443,1,1,4.230471707975443,2,2,5.630471707975443,1,1,0.03304717079754431,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-11,12,11,3.530471707975443,2,2,2.130471707975443,1,1,4.130471707975443,0,0,0.030471707975443137,4,4,6.330471707975443,2,2,0.05304717079754431,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-12,9,9,3.2304717079754433,1,1,2.330471707975443,2,2,3.830471707975443,1,1,4.430471707975443,3,3,5.930471707975443,1,1,0.04304717079754432,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102346,2024-01,12,11,3.3960015893759503,2,2,1.8960015893759505,1,1,3.8960015893759503,0,0,0.0,3,3,4.896001589375951,2,2,0.03960015893759505,1,1,1,250,12000,45,25.0,50.0,custodian_C,medium,1
102346,2024-02,8,8,2.8960015893759503,1,1,2.3960015893759503,2,2,3.69600158937595,1,1,4.096001589375951,4,4,5.896001589375951,1,1,0.009600158937595044,1,1,1,250,12000,45,25.0,50.0,custodian_C,medium,1
102346,2024-03,10,9,3.0960015893759505,2,2,1.9960015893759506,1,1,3.99600158937595,0,0,0.0,2,2,5.396001589375951,1,1,0.019600158937595043,1,1,1,250,12000,45,25.0,50.0,custodian_C,medium,1
102346,2024-04,9,9,2.8960015893759503,1,1,2.19600158937595,2,2,3.7960015893759502,1,1,3.8960015893759503,3,3,5.696001589375951,2,2,0.029600158937595045,1,1,1,250,12000,45,25.0,50.0,custodian_C,medium,1
102346,2024-05,11,10,3.2960015893759502,2,2,2.0960015893759505,1,1,4.096001589375951,0,0,0.0,4,4,6.096001589375951,1,1,0.03960015893759505,1,1,1,250,12000,45,25.0,50.0,custodian_C,medium,1
